idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
poco  o  nada ,3,"El  bonus  track  "" Heaven  and  Hell ""  poco  o  nada  tiene  que  ver  con  el  concepto . ||| Generalmente ,  sin  embargo ,  el  trabajo  poco  o  nada  tiene  que  hacer  para  que  un  script  escrito  para  un  sistema ,  ejecute  en  otro . ||| La  lluvia  en  los  meses  cálidos  contribuye  poco  o  nada  a  los  suministros  de  agua  y  la  agricultura ."
Él  comenta ,3,"Él  comenta  que  deberían  haber  traído  un  ejército . ||| Él  comenta  que  el  ataque  financiero  en  contra  de  los  Estados  Unidos  podría  destruir  la  confianza  en  el  dólar . ||| Él  comenta  que  ahora  tiene  un  embajador  que  puede  ir  de  caza  con  targ  y  que ,  por  esta  razón ,  "" tal  vez  siendo  canciller  no  será  tan  malo  después  de  todo "" ."
Por  cierto,3,"Por  cierto ,  ¿ dónde  estaban  Bart  y  Homer ? ||| Por  cierto ,  por  tu  parte ,  ¿ dónde  están  tus  tropas ,  tus  carros  posicionados ? ||| Por  cierto ,  en  esta  temporada ,  con  un  promedio  de  15.517  espectadores  en  el  campeonato ,  el  club  celebró  su  promedio  más  alto  de  asistencia  en  la  historia  del  club ."
En  otras  palabras ,3,"En  otras  palabras  P  r  h  ∈  H  { \displaystyle  Pr_{h\in  H } }  debe  ser  muy  pequeño ,  preferentemente  1/|D| . ||| En  otras  palabras  esclavos  al  dogma  o  la  ley . ||| En  otras  palabras  se  puede  generar  un  "" valor  especial "" ."
en  Barbados,3,"Desde  1956  hasta  1978 ,  los  Estados  Unidos  operaron  un  comercio  de  armas  químicas  en  Barbados . ||| Greg  dijo  una  vez  de  su  amigo :  "" Pete  fue  a  la  escuela  de  derecho  en  Barbados ;  él  no  aprobó  la  materia  "" Bar ""  ocho  veces . ||| También  se  hicieron  planes  para  que  fuera  reubicado  en  Barbados ."
pusieron  a  disposición ,3,"En  Europa ,  los  motores  con  controles  de  emisiones  convertidor  catalítico  se  pusieron  a  disposición  por  primera  vez . ||| Diez  batallones  de  infantería  se  pusieron  a  disposición  de  los  Habsburgo  de  acuerdo  con  las  obligaciones  militares  imperiales  de  Baviera . ||| Fue  lanzado  en  mayo  de  2010 ,  aunque  las  versiones  de  desarrollo  se  pusieron  a  disposición  del  público  ya  en  mayo  de  2009 ."
sin  lugar  a  dudas ,3,"No  es  sin  lugar  a  dudas  tener  un  estudio  en  uno  de  los  autobuses ,  mientras  estamos  de  gira . ||| Aunque  ella  sospecha  de  que  Takuya  sea  Spider-Man ,  no  puede  probarlo  sin  lugar  a  dudas  hasta  el  episodio  final . ||| Según  Andreae  ""  es  sin  lugar  a  dudas  romana  y  el  análisis  de  laboratorio  ha  confirmado  que  es  antigua ."
tener  lugar,3,"El  festival  finalmente  puede  tener  lugar . ||| El  presidente  en  funciones  de  Ucrania  carece  de  muchos  de  los  poderes  ejecutivos  de  un  presidente  y  sólo  está  destinado  a  servir  por  un  corto  tiempo  antes  de  que  una  nueva  elección  pueda  tener  lugar . ||| La  asociación  de  iones  puede  tener  lugar ,  particularmente  con  iones  de  mayor  carga ."
fuera  de  servicio,3,"Super  Kaneko  Dial  está  actualmente  fuera  de  servicio . ||| Controla  el  estado  de  los  enlaces  ( es  decir ,  en  servicio / fuera  de  servicio ) . ||| 50  de  los  52  episodios  se  pueden  ver  en  Inglés  de  Netflix  a  través  de  su  asociación  con  Starz ,  aunque  los  episodios  están  fuera  de  servicio ."
a  solas ,3,"Se  toma  un  momento  a  solas  y  llama  a  su  mamá . ||| Muchos  me  vieron  caminando  a  solas  bajo  las  luces  desiertas  y  azules  de  mi  soledad . ||| Sin  embargo ,  Warrick  todavía  tiene  que  hacer  la  apuesta  para  el  juez  Cohen  y  deja  a  Holly  en  la  escena  a  solas  con  un  oficial  de  policía ."
Sin  duda ,3,"Yassin  también  afirmó :  "" Sin  duda  esto  es  un  resultado  de  la  injusticia  que  los  Estados  Unidos  ejercen  contra  los  débiles  en  el  mundo "" . ||| Sin  duda  una  de  las  épocas  más  provechosas  para  Moropeche  fue  el  periodo  musulmán . ||| Sin  duda  Terry  pensaba  que  eran  suyas  y  Jimmy  Sangster  creía  que  le  pertenecían ."
Por  desgracia ,3,"Por  desgracia  para  él ,  las  raciones  militares  eran  insuficientes  para  satisfacer  su  apetito . ||| Por  desgracia  esto  es  difícil ,  sobre  todo  si  la  policía  no  se  involucra  inmediatamente  después  del  evento . ||| Por  desgracia  está  en  el  edificio  equivocado  para  ello ."
de  autores ,3,"Actualmente ,  238  sociedades  de  autores  procedentes  de  121  países  son  miembros  de  la  CISAC . ||| A  partir  de  octubre  de  2014 ,  la  revista  solo  aceptó  envíos  de  autores  dispuestos  a  pagar  un  cargo  por  procesamiento  de  artículos  ( actualmente  5.200  dólares  en  los  Estados  Unidos ) . ||| La  información  de  autores  antiguos  es  también  muy  escasa ,  de  manera  que  hay  muchos  problemas  de  interpretación  en  relación  con  la  naturaleza  exacta  del  Milliarium  Aureum ."
como  máximo,3,"Akram :  40.000  como  máximo . ||| Juntos ,  Marsh  y  Povenmire  pueden  « escribir  una  canción  sobre  casi  cualquier  cosa » ,  y  en  solo  una  hora  como  máximo . ||| Richards  al  menos  reconoce  el  punto  más  alto  como  máximo ,  al  igual  que  Birkett ,  quien  otorga  el  mismo  estatus  a  ambos ."
en  cuestiones  de ,3,Empezamos  a  pensar  en  cuestiones  de  credibilidad . ||| Population  Europe  actualmente  incluye  25  institutos  de  investigación  europeos ;  además  colabora  con  instituciones  que  trabajan  en  cuestiones  de  población  y  políticas​. ||| Acland  también  estaba  interesado  en  cuestiones  de  salud  pública .
Hoy  por  hoy,3,"« Los  Ondas  premian  ' Hoy  por  hoy ' ,  el  humor  de  Mota  y  la  tele  en  3D » . ||| « Hoy  por  hoy ,  Irán  es  amigo  del  pueblo  de  Estados  Unidos  y  de  Israel . ||| En  la  temporada  1995-1996  colabora  también  con  la  Cadena  SER  tanto  en  Hora  25  como  en  Hoy  por  hoy ."
en  condición ,3,"Por  su  parte ,  Colombia  no  le  ha  podido  ganar  nuevamente  a  Argentina  en  condición  de  visitante  desde  entonces . ||| Portland  tuvo  cuatro  juegos  en  condición  de  local  mientras  que  Vancouver  y  Seattle  tuvieron  tres  y  dos  respectivamente . ||| Durante  la  pelea ,  Hawkeye  elogió  a  Karla  por  ser  una  mujer  en  condición  atlética ."
sin  palabras,3,"Es  la  forma  más  elevada  de  comunicación  posible :  una  transmisión  sin  palabras . ||| Llamado  el  "" libro  sin  palabras "" ,  fue  una  colección  de  15  ilustraciones . ||| Billy  tiene  que  ser  capaz  de  oír  sus  conjuros  para  tener  éxito ,  pero  algunos  de  los  hechizos  de  Billy  se  pueden  activar  sin  palabras ."
en  Brooklyn ,3,"Johnny  y  la  cosa  lo  encuentran  en  un  bar  en  Brooklyn  bebiendo  cerveza  sin  alcohol . ||| Escribí  esto  sobre  el  valor  que  tuve  para  decir  "" odio  Hollywood ,  yo  solo  quiero  vivir  en  Brooklyn  y  hacer  música "" » . ||| The  Village  sigue  a  los  residentes  de  un  edificio  de  apartamentos  en  Brooklyn  donde  « las  personas  que  residen  en  el  edificio  han  construido  una  familia  de  amigos  y  vecinos ."
los  márgenes ,3,"Los  desafíos  para  el  poder  de  la  elite  a  menudo  surgen  en  los  márgenes  de  la  sociedad . ||| Se  ha  estimado  que  los  márgenes  convergentes  pueden  contener  hasta  dos  tercios  del  volumen  total  de  hidratos  de  gas  en  la  tierra​(Kastner ,  2001 ) . ||| La  competencia  con  la  Compañía  de  la  Bahía  de  Hudson  fue  intensa ,  sin  embargo ,  y  los  márgenes  de  beneficio  se  estrecharon ."
en  Batgirl ,3,"La  primera  vez ,  en  Batgirl  N °  62 ,  Cassandra  Cain  se  la  encontró  durante  una  experiencia  cercana  con  la  muerte . ||| Es  más  conocida  por  su  trabajo  en  Batgirl  y  por  sus  ilustraciones  de  estilo  japonés . ||| Apareció  por  primera  vez  como  un  enemigo  de  Cassandra  Cain  ( más  tarde  Batgirl )  en  Batgirl  # 67  ( octubre  de  2005 ) ."
en  Broadway ,3,"Una  versión  teatral  titulada  también  ser  o  no  ser  abierto  en  Broadway  en  2008 . ||| Sus  producciones  también  fueron  bien  acogidas  en  los  Estados  Unidos ,  representándose  nueve  de  ellas  en  Broadway  entre  1899  y  1907 . ||| La  producción  corrió  a  la  5th  Avenue  Theatre  en  Seattle  pero  aún  tiene  que  abrir  en  Broadway  ."
Acaban  de ,3,Acaban  de  descubrir  el  mensaje  secreto . ||| Acaban  de  descubrir  la  muerte  de  la  última  Kang  Amarilla  y  están  planeando  cómo  atacar  a  las  Kangs  Azules . ||| Acaban  de  mudarse  a  la  ciudad  pero  se  encuentran  con  falta  de  dinero .
de  pesos,3,"« Causó  ' Jova '  en  Colima  daños  por  $ 1,283  millones  de  pesos » . ||| « 52  millones  de  pesos ,  el  costo  de  El  Americano :  the  movie  de  Animex » . ||| Con  una  inversión  de  18  millones  de  pesos ,  en  estos  cuatro  años  de  trabajos  se  han  consolidado  70  estructuras  de  las  255  detectadas ."
brazo  derecho ,3,"Su  brazo  derecho  era  controlable . ||| Su  brazo  derecho  se  protege  con  una  piel  de  animal . ||| Su  brazo  derecho  biónico  original  fue  construido  de  acero ,  y  diseñado  por  Stark  International ."
de  golpear ,3,"Un  tribunal  condena  a  Callaghan  de  golpear  a  un  oficial  ( 1  año )  y  desobedecer  a  un  oficial  ( 10  años ) . ||| Luego  le  ayudó  a  entrar  al  ring ,  y  dijo  que  ella  estaría  feliz  de  golpear  a  McMahon  por  él . ||| La  línea  "" No  me  hagas  enojar  ... ""  de  la  serie  de  televisión  se  convirtió  en  un  diálogo  que  el  padre  de  Banner  diría  antes  de  golpear  a  su  hijo ."
En  ese  entonces ,3,"En  ese  entonces  declaró :  "" las  estimaciones  son  que  hay  más  de  un  millón  de  personas  satánicas  en  este  país ... ||| En  ese  entonces  Lambeth  tenía  la  mayor  incidencia  de  robos  en  Londres . ||| En  ese  entonces  no  existían  caminos  y  todo  debía  hacerse  a  lomo  de  burro ."
cosas  malas ,3,Muchas  de  las  cosas  malas  o  dañinas  en  el  mundo  fueron  obra  del  hermano  necio . ||| Lily  convence  a  Ted  para  despedirse  de  todas  las  cosas  malas  ya  que  las  cosas  buenas  siempre  lo  esperarán . ||| La  película  también  trata  de  las  cosas  malas  que  ocurren  cuando  actúas  de  manera  incorrecta .
El  margen ,3,"El  margen  de  beneficio  se  utiliza  principalmente  para  la  comparación  interna . ||| El  margen  mesial  de  algunos  de  los  dientes  tiene  una  pronunciada  curvatura  distal . ||| El  margen  de  error  en  estas  encuestas  es  típicamente  entre  2  a  2,9% ."
de  entradas ,3,"De  noviembre  a  diciembre  se  recibieron  casi  un  centenar  de  entradas  de  34  países . ||| Un  porcentaje  de  la  venta  de  entradas  promueve  la  legalización  de  los  matrimonios  del  mismo  sexo  en  los  EE.UU.  a  través  de  Impacto  de  Broadway . ||| Su  nombramiento  se  une  a  la  compra  de  entradas  de  todo  el  odio  de  la  máquina  de  la  política ,  y  pondrá  en  peligro  en  gran  medida  el  éxito  de  Garfield . ""​."
A  día  de  hoy,3,"A  día  de  hoy ,  el  trabajo  de  Biot  sigue  siendo  la  única  traducción  a  una  lengua  occidental  de  este  libro . ||| A  día  de  hoy ,  una  expresión  de  tres  caracteres  para  referirse  a  "" muerte  a  toda  la  familia ""  sigue  siendo  una  poderosa  maldición  en  el  idioma  cantonés . ||| A  día  de  hoy ,  sus  descendientes  tienen  una  reunión  familiar  cada  mes  de  agosto ."
en  bares ,3,"A  partir  de  2000  comenzó  a  tocar  en  bares  y  restaurantes  con  su  hermano  Jonathan . ||| Shin  había  estado  cantando  en  bares  de  alrededor  de  10  años  antes  de  convertirse  en  cantante . ||| Adamski  afirmó  además  que  los  alienígenas  vivían  pacíficamente  en  su  base  de  la  Tierra ,  y  que  se  había  reunido  con  ellos  en  bares  y  restaurantes  del  sur  de  California ."
llevó  adelante ,3,"En  1684  Henry  Loftus ,  llevó  adelante  extensas  reparaciones  al  Hall ,  que  presumiblemente  necesitaba  arreglos  luego  de  los  eventos  turbulentos  de  las  décadas  previas . ||| Por  tres  años ,  Jandamarra  llevó  adelante  una  guerra  de  guerrillas  contra  la  policía  y  los  colonos  europeos . ||| El  juicio  sobre  competencia  contra  Microsoft  en  la  Unión  Europea  es  un  juicio  que  llevó  adelante  la  European  Commission  de  la  Unión  Europea  ( EU )  contra  Microsoft  por  abuso  de  su  posición  dominante  en  el  mercado  ( según  el  Derecho  de  la  competencia ) ."
que  le  quedaba ,3,"Todo  lo  que  le  quedaba  acelerar  todo  lo  que  tenía ,  una  vez  más . ||| Finalmente  pierde  todo  su  dinero  pero  el  único  amigo  que  le  quedaba  lo  ayuda  a  recuperar  su  fortuna  en  la  India . ||| El  hijo  mayor  que  le  quedaba  fue  entonces  Thomas ,  nacido  alrededor  de  1336  o  1337 ,  quien  sucedió  a  su  padre  en  1360 ."
Acabo  de ,3,"¡ Acabo  de  tomar  chistes  y  volver  a  empaquetar  con  un  acento  mexicano ! "" . ||| "" Acabo  de  recibir  un  llamado , ""  respondió  Scutaro . ||| Acabo  de  recibir  mi  fuerza  de  todo  el  amor  de  los  fanáticos ."
hicieron  amigos,3,"Sin  embargo ,  la  respuesta  "" diss ""  trajo  los  dos  juntos  y  pronto  se  hicieron  amigos . ||| Finalmente ,  los  dos  se  hicieron  amigos ,  y  Vanko  desarrolló  orgullo  y  admiración  por  su  nuevo  hogar . ||| Sin  embargo ,  después  de  que  Aichi  derrotara  a  Kai  en  el  episodio  2 ,  él  y  Aichi  se  hicieron  amigos ."
en  Birmania,3,"Fue  una  figura  política  muy  respetada  Shan  en  Birmania . ||| Según  BBC  News ,  "" la  gente  de  Chin  ...  es  uno  de  los  grupos  minoritarios  más  perseguidos  en  Birmania "" . ||| Ba  Maw  escribió  su  tesis  doctoral  en  idioma  francés  sobre  los  aspectos  del  budismo  en  Birmania ."
de  seguro ,3,Zhang  compró  dos  pólizas  de  seguro  antes  de  salir  de  Dalian  y  compró  las  cinco  restantes  en  Beijing . ||| Otras  formas  de  seguro  comenzaron  a  aparecer  también . ||| La  Confederación  también  es  responsable  de  investigar  y  firmar  planes  de  seguro  del  mercado  laboral .
por  desgracia,3,"Así  DNMP  está  en  el  infierno  de  los  derechos  legales ,  por  desgracia . ||| Más  tarde ,  Sally  presenta  una  versión  mejorada  de  A ,  que  por  desgracia ,  rompe  B.  Los  autochecks  hacen  posible  proporcionar  información  a  John  para  que  pueda  solucionar  el  problema . ||| El  consenso  del  sitio  es :  "" Hay  una  increíble  historia  verdadera  en  el  corazón  de  Soul  Surfer  -  y ,  por  desgracia ,  está  ahogado  por  las  olas  de  queso  Hollywood "" ."
fuera  de  ella,3,"Lo  que  ocurre  en  la  mente  humana  también  ocurre  fuera  de  ella . ||| Los  aficionados  se  les  prohíbe  entrar  en  la  instalación ,  y  también  tienen  prohibido  solicitar  autógrafos  y  fotografías  de  los  jugadores  profesionales  fuera  de  ella . ||| Eso  es  algo  que  se  hace  en  el  karting  y  normalmente  crecen  fuera  de  ella ,  pero  eso  no  es  obviamente  el  caso  de  checo  ."
El  milagro ,3,"El  milagro  económico  también  demostró  la  escasez  de  mano  de  obra  nacional ,  especialmente  en  el  sector  del  carbón . ||| El  milagro  de  Nate  aumenta  su  popularidad  aún  más ,  y  es  admirado  por  cientos  de  seguidores . ||| « El  milagro  llamado  Mazunte »  ."
dimos  cuenta  de ,3,""" Nos  dimos  cuenta  de  que  el  tiempo  y  la  fama  de  Andrée  habían  convertido  nuestro  apellido  en  un  adjetivo . ||| Así  que  pasamos ,  y  nos  dimos  cuenta  de  lo  que  había  perdido  un  par  de  días  más  tarde "" . ||| Los  escritores  y  los  productores  no  participaron  en  esa  campaña ,  pero  rápidamente  pusimos  fin  a  ella  y  nos  dimos  cuenta  de  cómo  Peligroso  y  potencialmente  incendiario  este  espectáculo  podría  ser ."
de  primeros ,3,"Siempre  posición  de  primeros  arribos  de  Alemania . ||| Como  las  serpientes  difieren  de  un  país  a  otro ,  los  métodos  de  primeros  auxilios  también  varían . ||| Al  menos  otras  30  personas  buscaron  tratamiento  en  lugares  de  primeros  auxilios  o  en  el  Hospital  de  Letterkenny  a  través  de  la  frontera ."
las  maravillas ,3,"En  el  país  de  las  maravillas  ( Kempis  puertorriqueño ) . ||| Cómo  los  únicos  sobrevivientes  de  su  familia ,  los  dos  hermanos  se  embarcaron  en  este  viaje  para  visitar  las  maravillas  del  mundo . ||| En  primer  lugar ,  habla  con  Arisu  durante  una  lucha  que  tiene  con  otra  chica  en  las  maravillas  del  Espacio ."
todo  lo  contrario,3,"Él  es  en  muchos  aspectos  de  su  todo  lo  contrario ,  prefiriendo  jugar  afuera  en  vez  de  leer  libros . ||| No  era  libidinoso  y  le  gustaban  las  rubitas  graciosas ;  parece  que  Pilar  Valderrama  es  todo  lo  contrario . ||| Este  hecho  histórico  no  termina  con  el  comunismo ,  señala  Georgescu-Roegen ;  todo  lo  contrario ,  continúa  durante  el  comunismo ,  y  más  allá  de  eso  también ."
los  martes ,3,"Por  un  corto  tiempo ,  fue  transmitido  los  martes  en  Eurosport . ||| Al  igual  que  WCW  Thunder ,  SmackDown !  era  grabado  los  martes  y  luego  transmitido  los  jueves . ||| Todos  los  martes  del  año  están  dedicados  a  su  memoria ."
quería  decir ,3,"De  modo  similar ,  lo  que  el  senado  quería  decir  con  rex  en  aquel  momento  de  la  historia  de  la  República  no  queda  claro . ||| Me  mostró  un  hombre  y  una  mujer  que  él  había  hecho  según  una  medida ,  de  manera  que  yo  ahora  vería  lo  que  quería  decir  más  que  contemplar  un  nuevo  reino ... ||| Aunque  no  está  claro  que  quería  decir  esta  formulación  en  ese  momento ,  este  juramento  se  usó  más  tarde  en  la  lucha  entre  el  rey  y  sus  condes ."
tarde  o  temprano ,3,"Sin  embargo ,  tarde  o  temprano  la  realidad  será  revelada . ||| Uno  o  más  hermanos  y  hermanas  casadas  usualmente  se  van  tarde  o  temprano  y  se  incorporan  a  otras  unidades  residenciales . ||| No  veo  cómo  podemos  tener  la  esperanza  permanente  de  ser  lo  suficientemente  fuertes  como  para  mantener  las  razas  de  color  por  fuera ;  tarde  o  temprano  están  obligados  al  desbordamiento ,  por  lo  que  lo  mejor  que  podemos  hacer  es  esperar  que  las  naciones  vean  la  sabiduría  de  Control  de  la  natalidad ...."
en  Broadway,3,"Más  tarde ,  ella  visita  Nueva  York  para  asistir  a  la  noche  de  inauguración  de  Rachel  en  Broadway . ||| Ernie  Harburg​  Trabajar  en  Hollywood  no  detuvo  la  carrera  de  Harburg  en  Broadway . ||| Informe  a  los  agentes  en  Broadway ,  New  New  York ,  M.  Kersey  &  Company ."
Vis  a  Vis,3,"« El  pasado  oculto  de  las  protagonistas  de  ' Vis  a  Vis ' » . ||| « Antena  3  se  monta  su  propio  ' Orange  is  the  new  Black '  en  ' Vis  a  Vis ' » . ||| « ' Vis  a  Vis ' ,  el  thriller  que  Antena  3  necesita  para  completar  su  baraja  de  ases » ."
de  Autor ,3,"Barbara  Ringer ,  el  Registro  de  Derechos  de  Autor  de  los  Estados  Unidos ,  tuvo  un  papel  activo  en  la  redacción  de  una  nueva  ley  de  derechos  de  autor . ||| La  asociación  también  se  puso  de  pie  frente  a  la  Ley  de  Derecho  de  Autor  de  Modernización  ( C11 )  en  Canadá  y  la  Lucha  contra  la  Falsificación  Comercio  ( ACTA ) ,  a  nivel  internacional . ||| Los  EE.UU.  Oficina  de  Derecho  de  Autor  de  registro  Kim  añade  la  nota  que  algún  material  es  tomado  de  un  diario  preexistente ."
los  Marineros ,3,"Muchos  temían  que  los  Marineros  de  Seattle  se  marcharían  si  un  nuevo  estadio  no  se  construyera . ||| Tres  días  más  tarde ,  Minaya  adquirió  a  JJ  Putz  de  los  Marineros  en  un  acuerdo  de  tres  equipos . ||| Decidió  dejar  a  los  Marineros  antes  del  último  año  de  su  contrato  en  2004 ,  renunciando  a  $ 8.5  millones ,  citando  su  deseo  de  estar  con  su  familia  en  Japón ."
en  Beijing,3,"El  15  de  mayo  de  2016 ,  el  tercer  libro  de  Yu  Xiuhua  "" Amábamos  y  luego  olvidamos ""  （ 《 我们爱过又忘记》）fue  publicado  en  Beijing . ||| 627-650  por  Feng  Chengsu ,  y  está  ubicado  en  el  Palace  Museum  en  Beijing . ||| Estando  ocupado  en  Taiwán  por  disparar  a  KANO  en  ese  momento ,  pudo  unirse  para  un  día  de  rodaje  en  Beijing ."
no  tenía  ni  idea ,3,"Durante  más  de  un  año ,  Abby  no  tenía  ni  idea  de  dónde  estaba . ||| "" Tenía  16  años  y  no  tenía  ni  idea  de  quién  era  Simon  Foxton , ""  dijo  enuna  entrevista  para  Telegraph  Magazine . ||| Pero  Darwin  no  tenía  ni  idea  del  gen ,  cuyo  concepto  se  estableció  sólo  en  el  siglo  XX ."
La  Milicia ,3,"La  Milicia  también  tenía  secciones  juveniles  para  niños  y  niñas ,  llamadas  Avant-Garde  . ||| La  Milicia  era  la  manifestación  más  extrema  del  fascismo  del  régimen  de  Vichy . ||| Cuando  se  trabaja  para  la  independiente  de  lucha  libre  del  hardcore  promoción  Desastre  total  Ultraviolento  ( DTU ) ,  el  grupo  se  conoce  como  La  Milicia  Extrema ."
ya  que  estaban ,3,"Durante  este  tiempo ,  el  nombre  de  la  banda  fue  cambiado  de  Smile  a  Smile.dk ,  ya  que  estaban  siendo  comercializados  en  Dinamarca . ||| No  se  unieron  a  la  escuela  en  ese  momento ,  ya  que  estaban  siendo  entrenados  directamente  por  su  padre  y  Ricky  Santana ,  un  amigo  de  la  familia . ||| El  26dejulio ,  YouTube  eliminó  muchos  de  los  clips  ya  que  estaban  infringiendo  los  términos  de  copyright ."
los  marcianos ,3,"En  realidad ,  los  marcianos  verdes  y  blancos  formaban  parte  de  la  misma  raza ,  conocida  como  "" The  Burning "" . ||| Esta  era  otra  razón  para  la  guerra  entre  los  marcianos  blancos  y  verdes ,  que  estaban  indignados  por  tal  vandalismo  biológico . ||| Todos  los  marcianos  blancos  habían  sido  asesinados  de  una  manera  u  otra  antes  del  final  de  la  serie ,  a  excepción  de  un  joven  llamado  Till'All ."
él  comenzó ,3,"Dijeron  que  él  comenzó  un  incendio  que  quemó  sus  tres  niñas . ||| En  1933 ,  él  comenzó  "" conciertos  de  la  juventud ""  para  las  audiencias  más  jóvenes ,  que  son  todavía  una  tradición  en  Filadelfia  y  muchas  otras  ciudades  americanas ,  y  fomentó  programas  de  música  para  la  juventud . ||| Antes  de  que  él  comenzó  a  vivir  bajo  el  puente ,  que  era  un  famoso  peluquero  que  capturó  los  corazones  de  todos  sus  clientes  femeninos ."
de  golpe ,3,"Durante  el  mandato  de  Chávez ,  hubo  63  presuntos  planes  de  asesinato  y  de  golpe  de  Estado ,  mientras  que  en  los  primeros  15  meses  de  la  presidencia  de  Maduro ,  han  sido  denunciados  decenas . ||| Durante  un  intento  de  golpe  de  Estado  en  1960 ,  varios  funcionarios  del  gobierno  fueron  masacrados  en  el  palacio . ||| El  ataque  más  notable  se  produjo  el  19  de  julio ,  tan  solo  4  días  después  del  intento  de  golpe  de  Estado  turco  de  2016 ."
en  bonos ,3,"Cobb-Marietta  Coliseum  &  Exhibit  Hall  Authority  ha  emitido  hasta  $  397  millones  en  bonos  para  el  proyecto . ||| En  1944 ,  cuando  los  ganadores  eran  pagados  en  bonos  de  guerra ,  McSpaden  ganó  $ 23,855 . ||| Los  votantes  aprobaron  $ 265.000  en  bonos  en  1970 ,  lo  que  fue  el  catalizador  para  financiar  los  nuevos  jardines ."
de  otro  modo,3,"O ,  por  decirlo  de  otro  modo ,  nuestras  pesadillas  con  forma  humana  ( más  o  menos ) . ||| Podían  celebrar  la  misa  y  mantener  sus  rituales  tanto  como  les  gustara ,  pero  no  podían  tener  que  ver  con  la  sociedad  alemana  de  otro  modo . ||| Bob  y  su  equipo  se  reunieron  para  pensar  y  hacer  cosas  de  otro  modo ."
De  alguna  manera,3,"De  alguna  manera ,  esto  provocó  una  transformación  en  él  -  se  expandió  su  mente  y  su  comprensión . ||| De  alguna  manera ,  el  buque  ha  reaparecido  cerca  de  Júpiter . ||| De  alguna  manera ,  el  proyecto  Qube  falló  porque  estaba  por  delante  de  su  tiempo ."
en  Bagdad,3,"1  ambos  partidos  se  jugaron  en  Bagdad ,  Iraq  por  mutuo  acuerdo . ||| Su  padre ,  que  además  era  también  poeta ,  creía  que  una  tradición  pura  de  la  música  árabe  se  había  desarrollado  en  Bagdad . ||| De  todos  ellos  sólo  quedaron  dos  en  Bagdad :  Jon  Sistiaga  como  periodista  y  José  Couso  como  operador  de  cámara ."
Otra  vez,3,"Otra  vez ,  el  récord  de  asistencia  estuvo  mejorado  ese  año  con  9893  visitantes  buscando  provisiones  de  imprimir  de  computadoras . ||| Anna  Gerber  y  Kerry  Raymond ,  MOF  a  EMF  y  Atrás  Otra  vez . ||| Otra  vez ,  este  también  resultaba  un  blanco  muy  tentador ,  y  los  Bóers  abrieron  el  fuego ."
En  un  momento  dado ,3,"Sin  embargo ,  en  la  conclusión ,  ella  admite :  "" En  un  momento  dado  es  difícil  saber  si  las  fuerzas  de  la  vida  cultural  o  la  muerte  están  en  ascenso . ||| En  un  momento  dado  sus  dispositivos  revivieron  a  la  Mujer  Maravilla ,  y  a  una  vez  más  a  la  Sociedad  de  la  Justicia  de  América . ||| En  un  momento  dado  se  involucró  en  juicios  y  tuvo  que  cerrar  su  fábrica  de  motores ."
se  cometieron ,3,"Hemos  perdonado ,  pero  no  hemos  olvidado  todas  las  barbaridades  cometidas  en  nuestro  propio  país  durante  la  Guerra  sudafricana » ,  refiriéndose  a  las  atrocidades  que  se  cometieron  durante  la  Guerra  Bóer . ||| Entre  2005  y  mediados  de  2010 ,  el  79.38%  de  las  muertes  se  cometieron  por  armas  de  fuego  en  el  país . ||| Como  se  mostró  en  una  preparación  realizada  por  el  Museu  Nacional  de  Brasil ,  en  la  primera  preparación  se  cometieron  varios  errores  graves ."
da  cuenta  del ,3,"Sacando  uno  de  los  sacos ,  el  granjero  Mecke  inmediatamente  se  da  cuenta  del  problema . ||| Sarah  se  da  cuenta  del  cuerpo  del  Doctor ,  pero  cuando  se  acerca ,  el  Doctor  se  despierta  y  le  sonríe . ||| Finalmente ,  se  da  cuenta  del  error  de  sus  maneras  y  entrega  todo  el  dinero  que  el  gobierno  le  pagó ."
